date,weight,energy,protein,carbs,fats
2019-10-28,57.1kg,,,,
2019-10-27,,,,,
2019-10-26,,,,,
2019-10-25,,,,,
2019-10-24,56.7kg,,,,
2019-10-23,,,,,
2019-10-22,57.5kg,,,,
2019-10-21,,,,,
2019-10-20,,,,,
2019-10-19,56.7kg,,,,
2019-10-18,,,,,
2019-10-17,,,,,
2019-10-16,56.6kg,,,,
2019-10-15,,,,,
2019-10-14,,,,,
2019-10-13,,,,,
2019-10-12,56.7kg,,,,
2019-10-11,,,,,
2019-10-10,57.7kg,,,,
2019-10-09,57.2kg,,,,
2019-10-08,,,,,
2019-10-07,56.2kg,,,,
2019-10-06,,,,,
2019-10-05,,,,,
2019-10-04,,,,,
2019-10-03,,,,,
2019-10-02,56.1kg,,,,
2019-10-01,55.8kg,,,,
2019-09-30,55.7kg,,,,
2019-09-29,55.6kg,,,,
2019-09-27,56.1kg,,,,
2019-09-26,55.9kg,,,,
2019-09-24,55.4kg,,,,
2019-09-23,55.6kg,1917.2,260.6,181.24,21.066
2019-09-22,55.6kg,,,,
2019-09-21,55.9kg,,,,
2019-09-20,,,,,
2019-09-19,55.6kg,,,,
2019-09-18,,,,,
2019-09-17,54.9kg,,,,
2019-09-16,54.5kg,,,,
2019-09-15,,,,,
2019-09-14,54.7kg,,,,
2019-09-13,54.7kg,,,,
2019-09-12,54.7kg,,,,
2019-09-11,54.8kg,,,,
2019-09-10,54.7kg,,,,
2019-09-09,,,,,
2019-09-08,55.0kg,,,,
2019-09-07,54.7kg,,,,
2019-09-06,54.5kg,,,,
2019-09-05,,,,,
2019-09-04,,,,,
2019-09-03,54.5kg,,,,
2019-09-02,54.4kg,,,,
2019-09-01,53.7kg,,,,
2019-08-31,,,,,
2019-08-30,53.3kg,,,,
2019-08-29,53.5kg,,,,
2019-08-28,,,,,
2019-08-27,53.8kg,,,,
2019-08-26,54.4kg,,,,
2019-08-25,54.5kg,,,,
2019-08-24,54.3kg,,,,
2019-08-23,54.7kg,,,,
2019-08-22,55.0kg,,,,
2019-08-21,,,,,
2019-08-20,,,,,
2019-08-19,,,,,
2019-08-18,55.3kg,,,,
2019-08-17,55.3kg,1273.47,167.392,63.02,37.309
2019-08-16,55.7kg,556.27,52.032,16.,30.929
2019-08-15,55.5kg,716.27,54.432,37.1,38.129
2019-08-14,55.3kg,1433.47,169.792,84.12,44.509
2019-08-13,55.7kg,1679.95,195.94,105.36,50.351
2019-08-12,55.6kg,1495.17,182.662,84.72,45.164
2019-08-11,56.0kg,1431.57,168.262,84.72,44.504
2019-08-10,56.1kg,1442.17,170.662,84.72,44.614
2019-08-09,56.5kg,1431.57,168.262,84.72,44.504
2019-08-08,56.6kg,1335.57,167.302,77.62,37.384
2019-08-07,56.9kg,1293.17,157.702,77.62,36.944
2019-08-06,56.8kg,1276.59,167.038,63.592,37.357
2019-08-05,57.1kg,1330.37,162.862,81.12,37.184
2019-08-04,56.6kg,1349.97,163.702,82.7,38.284
2019-08-03,57.0kg,1349.67,146.772,98.8,38.289
2019-08-02,57.5kg,1011.67,128.472,43.45,34.589
2019-08-01,57.3kg,705.97,55.502,42.3,33.834
2019-07-31,57.3kg,1112.67,130.172,60.4,37.339
2019-07-30,57.7kg,1173.67,130.972,68.6,40.039
2019-07-29,57.9kg,1173.67,130.972,68.6,40.039
2019-07-28,58.0kg,1244.67,132.312,88.9,37.719
2019-07-27,58.0kg,1320.67,144.572,98.7,35.889
2019-07-26,58.2kg,1365.67,150.572,100.7,37.239
2019-07-25,58.2kg,901.47,75.592,68.65,33.669
2019-07-24,58.4kg,1477.67,151.772,113.1,43.489
2019-07-23,58.5kg,1459.17,155.052,116.89,37.329
2019-07-22,58.7kg,1415.87,131.152,120.8,40.509
2019-07-21,59.1kg,1603.94,129.004,119.85,63.768
2019-07-20,59.7kg,1660.94,127.004,110.1,75.418
2019-07-19,59.7kg,1704.17,193.052,121.8,47.224
2019-07-18,59.7kg,1661.17,191.572,126.65,39.039
2019-07-17,59.3kg,1713.07,189.892,140.21,39.139
2019-07-16,59.5kg,1736.67,192.572,143.1,39.239
2019-07-15,59.5kg,1817.47,200.372,153.75,39.719
2019-07-14,59.6kg,1947.4,204.2,184.85,37.27
2019-07-13,59.6kg,1921.67,200.972,176.2,39.739
2019-07-12,59.6kg,1934.49,201.906,178.781,40.236
2019-07-11,59.5kg,1807.87,200.412,154.4,39.609
2019-07-10,60.3kg,1756.27,190.397,149.85,39.179
2019-07-09,61.0kg,1795.34,212.749,132.87,40.812
2019-07-08,61.5kg,1552.65,162.614,122.633,41.457
2019-07-07,62.3kg,1721.67,162.652,134.71,55.304
